,pedal length,pedal width,time when measured,cur weather,species
112,5.5,2.1,13.246683843360971,1,2
113,5.0,2.0,8.120627865054463,2,2
114,5.1,2.4,11.121838588372,0,2
115,5.3,2.3,9.494800707127816,0,2
116,5.5,1.8,11.443239345022866,2,2
117,6.7,2.2,14.775144986611604,0,2
118,6.9,2.3,14.687654458646788,3,2
119,5.0,1.5,13.977043850265735,1,2
120,5.7,2.3,15.04315705975904,2,2
121,4.9,2.0,14.366570642292904,1,2
122,6.7,2.0,12.150218586582033,3,2
123,4.9,1.8,10.219986665025337,0,2
124,5.7,2.1,7.941677972379946,4,2
125,6.0,1.8,15.142867845852017,2,2
126,4.8,1.8,13.195365652940087,4,2
127,4.9,1.8,16.417750141887364,1,2
128,5.6,2.1,14.757366041874457,2,2
129,5.8,1.6,7.7458697604587075,3,2
130,6.1,1.9,16.74317827810557,3,2
131,6.4,2.0,13.121467672764744,2,2
132,5.6,2.2,13.767838266424338,4,2
133,5.1,1.5,14.653883205488905,0,2
134,5.6,1.4,7.425553819896729,2,2
135,6.1,2.3,9.930337693610028,4,2
136,5.6,2.4,12.785681158208156,4,2
137,5.5,1.8,11.583175474828195,1,2
138,4.8,1.8,8.894276086607315,0,2
139,5.4,2.1,13.600603165288161,3,2
140,5.6,2.4,13.798630377122741,1,2
141,5.1,2.3,16.475295885101804,1,2
142,5.1,1.9,12.346420001985582,0,2
143,5.9,2.3,13.4548068320682,3,2
144,5.7,2.5,7.643523043062332,4,2
145,5.2,2.3,7.159927770636358,0,2
146,5.0,1.9,10.39785843284672,4,2
147,5.2,2.0,15.174637698956268,2,2
148,5.4,2.3,10.242003944476858,2,2
149,5.1,1.8,16.315229496684843,2,2
